id;categoria;fecha_otorgamiento;fecha_vencimiento
1;Ameliorated;2019-10-28T16:12:39;2019-10-27T21:31:53
2;navigating;2019-10-28T03:55:53;2019-10-28T04:06:39
3;Rustic Frozen Keyboard ROI;2019-10-28T14:52:47;2019-10-28T07:27:12
4;microchip;2019-10-28T04:47:24;2019-10-27T22:12:15
5;invoice;2019-10-28T08:14:03;2019-10-28T02:55:31
6;Jamaica Credit Card Account;2019-10-28T10:33:52;2019-10-28T19:29:22
7;Louisiana;2019-10-28T16:49:38;2019-10-28T02:26:48
8;Garden;2019-10-28T17:50:56;2019-10-28T18:25:54
9;Small;2019-10-28T13:09:39;2019-10-28T00:06:14
10;Colombian Peso Unidad de Valor Real Bridge Handmade;2019-10-28T08:50:10;2019-10-28T01:16:08
