id;casa_domicilio;depto_domicilio;manzana_domicilio;piso_domicilio
1;HDD;32595;red firewall open-source;34866
2;Rustic Quality;39757;Cambridgeshire hacking;67569
3;bandwidth azure;54144;Fiji Dollar Profound Bacon;98216
4;Borders content-based;99625;Agent;55829
5;THX pink even-keeled;70035;programming SCSI drive;88777
6;bypassing Marketing;78534;New Zealand Dollar Alabama transform;94013
7;Supervisor clear-thinking;30536;Buckinghamshire Ports;99445
8;Fish;1807;Bedfordshire;17882
9;world-class program alarm;30806;Benin Berkshire;63633
10;Ergonomic;58987;Coordinator Cambridgeshire Investor;43439
