id;nombre_espacio_comun;disponibilidad_desde;disponibilidad_hasta;foto_espacio_comun;foto_espacio_comun_content_type;hora_desde;hora_hasta
1;Ergonomic Concrete Soap Zambian Kwacha;2019-10-28T12:01:38;2019-10-28T17:16:22;../fake-data/blob/hipster.png;image/png;2019-10-28T14:32:05;2019-10-28T08:11:42
2;FTP;2019-10-28T02:51:23;2019-10-28T00:16:00;../fake-data/blob/hipster.png;image/png;2019-10-28T03:54:23;2019-10-28T17:21:21
3;array France protocol;2019-10-28T10:33:36;2019-10-28T01:11:32;../fake-data/blob/hipster.png;image/png;2019-10-28T14:29:09;2019-10-27T23:49:31
4;Senior Avon;2019-10-28T08:35:54;2019-10-28T05:33:55;../fake-data/blob/hipster.png;image/png;2019-10-28T01:28:33;2019-10-28T15:58:20
5;Handcrafted Cotton Bacon Unbranded Fresh Pants;2019-10-28T19:58:19;2019-10-28T11:37:15;../fake-data/blob/hipster.png;image/png;2019-10-28T06:44:31;2019-10-28T18:22:45
6;North Dakota Garden;2019-10-28T09:27:38;2019-10-28T16:54:49;../fake-data/blob/hipster.png;image/png;2019-10-28T07:36:41;2019-10-27T21:04:15
7;generating;2019-10-27T23:59:07;2019-10-28T19:54:10;../fake-data/blob/hipster.png;image/png;2019-10-28T14:37:43;2019-10-28T19:44:18
8;compressing;2019-10-28T11:59:25;2019-10-28T07:44:41;../fake-data/blob/hipster.png;image/png;2019-10-28T17:35:07;2019-10-28T12:47:42
9;synthesizing composite;2019-10-27T21:28:08;2019-10-28T05:41:08;../fake-data/blob/hipster.png;image/png;2019-10-28T09:39:37;2019-10-28T18:35:11
10;Intelligent Granite Shirt Peru deposit;2019-10-28T03:12:31;2019-10-28T17:26:56;../fake-data/blob/hipster.png;image/png;2019-10-27T21:12:52;2019-10-27T21:21:58
