id;fecha_hora_mensaje;descripcion_mensaje;estado_mensaje
1;2019-10-28T16:55:49;Haven Montenegro Fantastic Plastic Table;Bahamas
2;2019-10-28T07:27:39;orange Trinidad and Tobago Dollar Gorgeous;UAE Dirham
3;2019-10-28T02:23:23;Investment Account;Investment Account cross-platform
4;2019-10-28T18:04:27;transmitting parse infrastructures;matrix Implementation Shirt
5;2019-10-28T19:02:21;synthesize Arizona synthesizing;synthesizing
6;2019-10-28T02:37:23;back-end;Mouse open-source payment
7;2019-10-28T08:04:53;granular HDD whiteboard;Lights interface Central
8;2019-10-28T05:39:24;Saint Helena;Borders Grass-roots
9;2019-10-27T23:02:43;synthesize Bahrain;Pre-emptive Bouvet Island (Bouvetoya) experiences
10;2019-10-28T12:38:51;array Belize Dollar;optical
