id;autorizado_previo;acompaniantes;fecha_ingreso;fecha_egreso;tipovisita;ingreso_a_pie
1;false;34630;2019-10-28T16:28:40;2019-10-28T09:28:58;withdrawal Generic Frozen Tuna;true
2;false;26089;2019-10-28T11:38:39;2019-10-28T20:16:03;Optimization Cambridgeshire;true
3;true;68396;2019-10-28T16:43:28;2019-10-28T05:51:16;Web;true
4;false;86719;2019-10-28T06:34:35;2019-10-28T05:21:40;multi-byte Jamaican Dollar North Carolina;false
5;false;81120;2019-10-28T07:32:24;2019-10-28T00:56:23;Investment Account parsing invoice;false
6;false;27396;2019-10-28T18:58:12;2019-10-28T15:29:05;utilize;false
7;false;61825;2019-10-28T04:14:34;2019-10-28T12:33:27;withdrawal;false
8;true;68161;2019-10-28T20:04:34;2019-10-28T12:27:35;directional Avon Solomon Islands Dollar;false
9;true;93664;2019-10-27T23:34:32;2019-10-28T19:41:39;schemas Specialist China;false
10;true;56852;2019-10-28T01:16:15;2019-10-28T06:48:46;interface Cotton Robust;true
