id;codigo_qr;fecha_fin_qr;foto_qr;foto_qr_content_type;tipo_visira
1;JSON Texas;2019-10-28T14:54:30;../fake-data/blob/hipster.png;image/png;Dobra application
2;Fantastic;2019-10-27T22:58:25;../fake-data/blob/hipster.png;image/png;Berkshire navigating
3;superstructure;2019-10-28T18:14:06;../fake-data/blob/hipster.png;image/png;Small Frozen Salad bypassing
4;time-frame Quality;2019-10-27T21:49:14;../fake-data/blob/hipster.png;image/png;Missouri deposit
5;Gorgeous Money Market Account;2019-10-28T07:20:46;../fake-data/blob/hipster.png;image/png;ivory Data neural
6;Unbranded;2019-10-28T08:46:08;../fake-data/blob/hipster.png;image/png;Tasty Rubber Car mindshare EXE
7;bandwidth Liaison;2019-10-28T04:07:20;../fake-data/blob/hipster.png;image/png;generating SDD bypassing
8;Algerian Dinar Fantastic Fresh Salad;2019-10-28T03:41:06;../fake-data/blob/hipster.png;image/png;Sleek
9;Visionary;2019-10-28T06:41:01;../fake-data/blob/hipster.png;image/png;PCI SAS
10;Interactions;2019-10-27T20:58:16;../fake-data/blob/hipster.png;image/png;navigate repurpose
